Subject,Gender,Handedness,Age_in_Yrs,PicSeq_Unadj,PicSeq_AgeAdj,CardSort_Unadj,CardSort_AgeAdj,Flanker_Unadj,Flanker_AgeAdj,PMAT24_A_CR,PMAT24_A_SI,PMAT24_A_RTCR,ReadEng_Unadj,ReadEng_AgeAdj,PicVocab_Unadj,PicVocab_AgeAdj,ProcSpeed_Unadj,ProcSpeed_AgeAdj,ListSort_Unadj,ListSort_AgeAdj,CogFluidComp_Unadj,CogFluidComp_AgeAdj,CogEarlyComp_Unadj,CogEarlyComp_AgeAdj,CogTotalComp_Unadj,CogTotalComp_AgeAdj,CogCrystalComp_Unadj,CogCrystalComp_AgeAdj
201414,0,50,22,92.5,78.94,108.63,94.11,118.81,108.23,17,2,15549,130.37,126.36,124.13,122.75,102.08,83,117.39,108.26,107.3,90.23,112.05,97.63,124.35,117.62,128.52,130.62
201515,1,-5,26,105.56,97.12,123.42,109.56,122.27,111.26,20,0,17775,122.8524,118.136,125.8662,126.0458,137.25,130.65,112.89,103.57,126.6,118.84,125.7,117.99,138.11,134.48,126.04,125.97
201717,1,95,22,104.95,96.13,128.62,114.41,127.66,115.15,20,0,18660.5,111.9867,100.7038,126.4862,128.6437,85,61.18,117.39,108.26,,,,,,,,
201818,0,70,30,112.39,109.02,109.47,99.04,103.76,94.77,18,1,16981.5,118.92,110.56,124.12,117.51,105.68,94.25,93.9,84.01,103.29,91.72,114.32,105.38,115.73,106.44,122.9,117.97
202113,0,80,23,113.72,107.36,119.52,105.35,124.78,112.77,18,1,10980,124.0158,119.0637,114.5398,109.5578,138.72,131.89,130.38,123.73,134.76,130.46,124.13,115.42,140.53,137.15,120.4,118.22
202719,1,100,23,118.7,112.44,118.5,103.93,121.09,110.13,12,7,8465,105.4301,90.27486,118.2223,114.5555,137.25,130.65,117.39,108.26,130.71,123.97,125.47,117.64,130.16,125.25,112.13,103.26
202820,0,60,36,102.18,94.89,128.6,117.96,93.71,82.8,8,11,4395,112.6154,99.19436,108.8833,93.10353,121.22,117.3,96.99,88.33,108.29,99.22,108.42,95.01,109.89,96.97,110.94,95.06
203418,1,50,29,121.82,116.16,117.19,102.7,109.98,99.47,12,7,4110,132.65,128.57,129.02,130.91,116.75,104.68,104.06,94.33,115.62,103.78,126.38,118.48,135.31,131.66,133.61,134.87
203721,0,60,33,110.61,106.27,96.02,85.27,106.29,98,6,13,5870,118.42,109.67,115.85,105.36,103.95,91.73,100.43,93.3,101.31,88.17,106.86,92.39,109.85,96.91,117.88,109.49
203923,0,70,29,125.07,122.27,116.94,106.87,102.76,93.55,20,0,25364,115.822,105.4768,106.8004,89.31237,89.64,70.51,108.06,102.63,108.24,99.14,115.21,106.55,110.42,97.73,111.57,96.49
